Упаковщица,4 000 грн,"Днепркожгалантерея, ООО"
Водитель такси на своем авто,22 000 грн,Taxi 3933
Продавец-консультант (косметика Luxe),8 000 грн,TEAM 247
Менеджер по продажам,18 000 грн,22 Столетие
HR-менеджер,,Re Con
"Комплектовщица - упаковщица,  временно",6 300 грн,Анонимный работодатель
"Разнорабочий на производство,  временно",6 500 грн,Анонимный работодатель
Продавец продовольственных товаров,4 500 грн,"Вацак, кондитерские магазины"
Комплектовщик,,Giulia
Продавец-консультант,5 000 грн,СВІТ-УКРАЇНА
Специалист по работе с клиентами со знанием иврита,7 000 грн,Global Bilgi
Бухгалтер,,WOXAPP
Комплектовщик товара,,"Биосфера, Корпорация"
Водій Uber на власному авто,40 000 грн,УБЕР УКРАЇНА
Программист 1С,15 000 грн,TOP COSMETICS
Менеджер по продажам кормов,10 000 грн,"Бизарт, ООО, ТД"
Администратор зала,3 300 грн,MULTIPLEX
Фармпредставитель,,БІОКОДЕКС УКРАЇНА
Менеджер по продажам,,"AVENU, агентсво недвижимости"
Инженер по подготовке производства,13 500 грн,Procter&Gamble / P&G / Проктер енд Гембл
,,
Повар (с обучением),,"MAFIA, Сеть ресторанов итальянской и японской кухни"
Рабочий-оператор литья пластмасс,7 000 грн,"Инагропром, ООО, АИФ"
Специалист по работе с Клиентами в социальных сетях,8 000 грн,"Клевер, ООО"
Senior Java Engineer,,DataArt
Senior .NET Engineer,,DataArt
Менеджер по продаже,17 000 грн,BSD-Search
Аналитик со знанием английского,10 000 грн,MGNY
Менеджер по продажам в call-центр,,"Макси Маркетинг, ООО"
"Senior Business Analyst,  Financial Analytics System",,DataArt
Менеджер в клиентский офис,15 000 грн,Центр Биржевых Технологий
Главный бухгалтер,18 000 грн,"МоноПак, ООО"
Грузчик-комплектовщик,,"Инагропром, ООО, АИФ"
Менеджер по продажам,15 000 грн,Центр Биржевых Технологий
Продавец - консультант магазина Pedro del Hierro (Мост Сити),,KarKat Fashion
Оператор Call-центра,7 200 грн,Comfy
Менеджер по дистанционной работе с клиентами,6 000 грн,Виртуал Академия
Специалист по работе с клиентами в социальных сетях (онлайн-чат),6 000 грн,"Макси Маркетинг, ООО"
"HR,  Office Manager (IT)",,M2E Pro (ESS-UA)
Водитель со своим авто (на газу),,"MAFIA, Сеть ресторанов итальянской и японской кухни"
"Представитель компании,  промоутер,  мерчендайзер в гипермаркет ""Эпицентр""",7 000 грн,"СИМ ТРЕЙДИНГ, ООО"
,,
Продавец-консультант,5 000 грн,"MNS Investment / Intimissimi, Calzedonia, ТМ"
Продавец,5 500 грн,BON JOUR MENU
Сборщик окон пвх,10 000 грн,"Сириус, ООО"
Комплектовщик товаров,,"ТЕДІС УКРАЇНА, ТОВ"
Комплектовщик,7 500 грн,"Генезис-Украина, ООО"
Рекрутер,,"Такт, ООО"
Специалист колл-центра банка,5 000 грн,Homer Software House
Токарь-фрезеровщик,10 000 грн,"Анпилогов В.В., ФЛП"
Експедитор / водій-експедитор,,"ТЕДІС УКРАЇНА, ТОВ"
Официант,10 000 грн,"MAFIA, Сеть ресторанов итальянской и японской кухни"
Инженер электроник,9 700 грн,Procter&Gamble / P&G / Проктер енд Гембл
Инженер-электрик,9 700 грн,Procter&Gamble / P&G / Проктер енд Гембл
"Senior UI/UX Designer,  Media & Entertainment Practice",,DataArt
Senior JavaScript (React.js) Engineer,,DataArt
Senior JavaScript (Angular.js) Engineer,,DataArt
Senior QA Engineer,,DataArt
"Корпоративный секретарь,  офис-менеджер",5 000 грн,Hilens
Оператор колл-центра,7 000 грн,Hilens
Продавец - консультант (женская одежда),6 000 грн,OLKO
Руководитель отдела продаж,,"Бонтой, ООО"
,,
